epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,341.139,1.11682,0.68611,1.23319,0.84295,0.9252,0.91254,0.40292,2.06001,0.91442,2.15676,0.0006535,0.0006535,0.0006535
44,347.521,1.12809,0.72766,1.27309,0.82299,0.89768,0.90319,0.3937,2.12748,0.89927,2.21374,0.00064525,0.00064525,0.00064525
45,354.106,1.14959,0.69916,1.24999,0.85642,0.87387,0.89795,0.41964,2.07442,0.8897,2.12917,0.000637,0.000637,0.000637
46,360.555,1.13919,0.71585,1.2315,0.91228,0.8591,0.91588,0.4663,1.80143,0.84059,1.80751,0.00062875,0.00062875,0.00062875
47,367.218,1.10018,0.66861,1.21907,0.89942,0.88424,0.91374,0.43175,1.93582,0.81741,1.95165,0.0006205,0.0006205,0.0006205
48,373.708,1.05987,0.65288,1.18755,0.92483,0.91456,0.93867,0.49635,1.815,0.78403,1.87355,0.00061225,0.00061225,0.00061225
49,386.523,1.10384,0.68304,1.25177,0.9521,0.91786,0.96236,0.47052,1.83333,0.7612,1.88326,0.000604,0.000604,0.000604
50,393.328,1.02727,0.60857,1.17083,0.93776,0.90528,0.95125,0.43279,1.93793,0.83102,1.96483,0.00059575,0.00059575,0.00059575
51,399.795,1.05566,0.66756,1.21809,0.90998,0.89394,0.94694,0.41218,2.05079,0.90684,2.05038,0.0005875,0.0005875,0.0005875
52,406.432,1.04557,0.675,1.17815,0.80917,0.87916,0.8895,0.43915,1.86404,0.8738,1.8975,0.00057925,0.00057925,0.00057925
53,413.005,1.01364,0.63569,1.1991,0.87256,0.90309,0.93929,0.44446,1.87795,0.85656,1.94363,0.000571,0.000571,0.000571
54,419.46,1.01989,0.62959,1.18878,0.88714,0.8566,0.91154,0.43333,1.96486,0.87262,2.08637,0.00056275,0.00056275,0.00056275
55,425.788,1.0229,0.63315,1.18285,0.92639,0.91524,0.93689,0.45656,1.93412,0.83921,2.06537,0.0005545,0.0005545,0.0005545
56,432.418,0.98806,0.61216,1.17522,0.90063,0.93177,0.94805,0.44696,1.97804,0.7912,2.10432,0.00054625,0.00054625,0.00054625
57,438.876,1.00612,0.63774,1.18879,0.9257,0.88052,0.89879,0.42358,1.98047,0.76656,2.13485,0.000538,0.000538,0.000538
58,445.333,1.03682,0.63241,1.19871,0.94746,0.92482,0.96108,0.4694,1.81045,0.72221,1.92795,0.00052975,0.00052975,0.00052975
59,451.668,1.00087,0.60435,1.17626,0.94672,0.92729,0.95916,0.42809,1.87558,0.75051,1.98774,0.0005215,0.0005215,0.0005215
60,458.216,1.00826,0.64188,1.17045,0.94684,0.92365,0.95515,0.37886,2.00756,0.81521,2.14547,0.00051325,0.00051325,0.00051325
61,464.725,0.96271,0.60268,1.15148,0.94761,0.90598,0.95346,0.4241,1.83386,0.75846,1.95812,0.000505,0.000505,0.000505
62,471.195,0.9213,0.55448,1.14692,0.94125,0.92171,0.95346,0.44231,1.90649,0.7821,2.06663,0.00049675,0.00049675,0.00049675
63,477.788,0.9523,0.59156,1.11103,0.93984,0.93588,0.95537,0.46014,1.94915,0.81902,2.14078,0.0004885,0.0004885,0.0004885
64,484.356,0.91467,0.56702,1.11174,0.96421,0.92215,0.9674,0.50351,1.78826,0.75602,1.99297,0.00048025,0.00048025,0.00048025
65,496.771,0.9804,0.61691,1.13686,0.94411,0.90222,0.95941,0.5062,1.80848,0.76471,2.0416,0.000472,0.000472,0.000472
66,509.187,0.94917,0.59192,1.13356,0.95043,0.89118,0.96573,0.49741,1.83575,0.7534,2.04343,0.00046375,0.00046375,0.00046375
67,515.933,0.93669,0.58591,1.12382,0.96574,0.88639,0.96167,0.50481,1.77234,0.74841,1.93553,0.0004555,0.0004555,0.0004555
68,522.218,0.96676,0.57821,1.12472,0.96135,0.888,0.94855,0.50334,1.80472,0.77978,1.95824,0.00044725,0.00044725,0.00044725
69,528.846,0.93458,0.57597,1.11923,0.92818,0.9016,0.95293,0.51073,1.78724,0.75566,1.95498,0.000439,0.000439,0.000439
70,535.621,0.9382,0.6145,1.14708,0.92487,0.91426,0.95352,0.50678,1.74591,0.71193,1.91967,0.00043075,0.00043075,0.00043075
71,542.042,0.90826,0.58431,1.11296,0.94806,0.9257,0.95363,0.49972,1.74482,0.68631,1.92062,0.0004225,0.0004225,0.0004225
72,548.185,0.92935,0.58116,1.16363,0.95626,0.92616,0.96614,0.45503,1.92121,0.73867,2.2018,0.00041425,0.00041425,0.00041425
